Wall time,Step,Value
1683821321.366505,19,2.660954713821411
1683821372.144988,43,2.2367331981658936
1683821378.0099776,46,2.243027925491333
1683821400.4038155,57,1.2522717714309692
1683821436.6086338,72,2.403573513031006
1683821438.945716,75,2.860553979873657
1683821487.6081057,95,1.2001808881759644
1683821620.7424507,156,0.1938675940036773
1683821630.4157386,159,0.0458261743187904
1683821646.3244257,168,-0.149963766336441
1683821685.8483777,184,-0.8092378377914429
1683821788.0586326,230,-2.632047414779663
1683821800.9963126,235,-2.1167032718658447
1683821844.9963326,256,-3.593538999557495
1683821857.6107523,261,-3.1891403198242188
1683821871.2198925,268,-5.8287458419799805
1683821885.1343632,274,-5.723012447357178
1683821967.0339,309,-10.846114158630373
1683821975.9334056,311,-9.04063892364502
1683821991.6473763,319,-11.927629470825195
1683822040.1592877,340,-11.358776092529297
1683822059.6702518,348,-17.82838249206543
1683822109.6141634,368,-17.70303726196289
1683822237.386915,422,-50.70137023925781
1683822237.3959155,423,-37.78573989868164
1683822285.7482126,443,-50.67919158935547
1683822293.2011986,446,-38.08284378051758
1683822331.0501292,461,-66.84677124023438
1683822337.266118,464,-69.63392639160156
1683822338.6760852,465,-60.36809539794922
1683822365.2428498,475,-39.31636047363281
1683822411.0191526,494,-67.19933319091797
1683822465.6807723,515,-105.17041778564452
1683822521.613298,537,-105.46107482910156
1683822584.3010583,564,-63.01031875610352
1683822624.753008,580,-70.93983459472656
1683822641.3679774,587,-60.84830474853516
1683822642.543975,588,-46.08586883544922
1683822724.1873152,621,-51.6294174194336
1683822758.8634987,635,-38.44315719604492
1683822775.315257,642,-92.70591735839844
1683822779.0219786,643,-59.06728363037109
1683822783.1529057,645,-65.5931396484375
1683822790.48259,648,-60.65097427368164
1683822795.7781062,650,-47.23814392089844
1683822824.1942184,662,-45.63450241088867
1683822851.0986855,672,-68.1427993774414
1683822959.145091,715,-76.47443389892578
1683822979.3211467,723,-119.18111419677734
1683823000.4769728,731,-61.88282775878906
1683823054.6911824,753,-66.64580535888672
1683823062.6451137,757,-52.66544723510742
1683823087.2998085,766,-51.78582382202149
1683823094.492165,770,-64.19450378417969
1683823101.8048306,772,-86.5785140991211
1683823132.8368669,786,-76.19322204589844
1683823141.0191462,788,-98.46975708007812
1683823153.0819025,793,-92.09873962402344
1683823157.6977754,795,-47.99054336547852
1683823167.488107,799,-46.48474884033203
1683823176.3180895,803,-74.75346374511719
1683823192.1925144,809,-52.56511306762695
1683823192.3735132,810,-76.00639343261719
1683823253.397226,833,-88.77938079833984
1683823259.8244245,837,-56.07828521728516
1683823342.9752233,870,-71.21156311035156
1683823373.9812667,883,-70.3018569946289
1683823436.419406,908,-97.37660217285156
1683823444.1970232,910,-55.81114196777344
1683823462.857926,918,-83.35619354248047
1683823525.6315303,943,-68.2974624633789
1683823531.993858,946,-44.93779373168945
1683823553.238424,955,-55.8619384765625
1683823574.099047,963,-45.25262451171875
1683823596.6730812,972,-45.92464065551758
1683823598.6735244,973,-73.07392883300781
1683823613.0800822,979,-44.09776306152344
1683823616.3416567,980,-52.15764236450195
1683823628.42546,985,-107.59282684326172
1683823677.1891658,1003,-66.30148315429688
1683823684.0468266,1006,-44.02363204956055
1683823706.3211365,1015,-63.171852111816406
1683823826.5064695,1064,-67.6722412109375
1683823834.8830268,1067,-98.4599838256836
1683823841.095229,1069,-63.37874603271485
1683823849.9127364,1073,-56.332061767578125
1683823863.4317703,1079,-44.97917938232422
1683823875.8232453,1084,-56.51399612426758
1683823903.5049968,1094,-109.48230743408205
1683823919.4369006,1100,-64.32801818847656
1683823930.5431285,1105,-72.60931396484375
1683823954.7319283,1115,-91.7513427734375
1683824062.4123182,1157,-53.50537490844727
1683824070.632915,1161,-64.54867553710938
1683824075.7333984,1162,-114.35701751708984
1683824079.2751353,1163,-90.7092742919922
1683824125.6663277,1181,-40.99112701416016
1683824158.147256,1194,-70.5789794921875
1683824188.1003957,1207,-56.01583862304688
1683824292.7843828,1245,-84.36589813232422
1683824327.2253916,1259,-67.92578887939453
1683824334.8197398,1262,-106.21652221679688
1683824385.9375784,1282,-90.3587875366211
1683824401.3562095,1288,-88.59596252441406
1683824418.0197346,1295,-64.3191909790039
1683824473.681149,1317,-57.75468444824219
1683824479.0091393,1320,-54.75411605834961
1683824508.1448948,1331,-70.4144515991211
1683824515.2146428,1334,-75.29168701171875
1683824523.1754432,1337,-66.56643676757812
1683824525.1901004,1338,-62.07648086547852
1683824649.8778384,1386,-100.25275421142578
1683824664.8014746,1392,-78.72708892822266
1683824665.5694733,1393,-84.51646423339844
1683824723.4262714,1415,-72.70124053955078
1683824755.4003868,1427,-94.60877990722656
1683824777.5324306,1437,-87.72222900390625
1683824856.5798175,1467,-114.5333251953125
1683824887.2061882,1478,-63.86642837524414
1683824909.8647716,1486,-81.70926666259766
1683824926.0182965,1492,-98.5858383178711
1683825002.675151,1524,-103.62657165527344
1683825014.4876182,1528,-81.33574676513672
1683825078.8844676,1553,-91.81558227539062
1683825121.3264515,1569,-37.53374481201172
1683825122.5730114,1570,-61.62451171875
1683825159.5974476,1585,-50.15486526489258
1683825171.3648822,1589,-68.36875915527344
1683825212.866158,1605,-130.80885314941406
1683825214.8166163,1606,-60.02501678466797
1683825296.622886,1638,-95.6873779296875
1683825303.2046044,1641,-88.05574798583984
1683825318.2193303,1646,-93.15680694580078
1683825320.0018969,1649,-88.12629699707031
1683825376.7063885,1669,-81.64909362792969
1683825411.9937973,1683,-75.31094360351562
1683825439.2131991,1692,-124.55731964111328
1683825443.7420733,1696,-95.73997497558594
1683825454.070364,1698,-72.57112884521484
1683825454.2353632,1700,-79.22874450683594
1683825465.3284545,1703,-84.92510986328125
1683825481.8220675,1710,-52.48158264160156
1683825504.3308191,1719,-82.07711029052734
1683825541.6751957,1733,-108.58556365966795
1683825544.0168924,1735,-85.6009521484375
1683825553.785838,1738,-86.20211029052734
1683825567.3409636,1743,-82.90219116210938
1683825574.7865324,1746,-151.61940002441406
1683825575.4295306,1747,-84.26172637939453
1683825630.5029693,1767,-63.46587371826172
1683825652.387834,1776,-70.6426010131836
1683825667.1608105,1782,-49.38248443603516
1683825683.6651082,1790,-62.79452133178711
1683825712.0543222,1799,-67.7762222290039
1683825731.101352,1806,-60.37705612182617
1683825784.5675142,1827,-71.00390625
1683825793.315796,1831,-101.85031127929688
1683825818.1885073,1841,-59.62840270996094
1683825830.2073324,1845,-75.95368194580078
1683825853.484631,1854,-72.94441223144531
1683825884.573763,1867,-91.96902465820312
1683825891.6835024,1870,-94.0490493774414
1683825907.0739107,1876,-103.62530517578124
1683825915.4193182,1878,-68.8347396850586
1683826016.6900604,1918,-94.8297882080078
1683826061.567051,1935,-78.6168441772461
1683826089.8864243,1945,-85.29764556884766
1683826097.1025746,1948,-73.1256332397461
1683826149.2808783,1968,-93.07624053955078
1683826182.7858331,1982,-52.77473449707031
1683826189.9429357,1984,-100.722900390625
1683826237.47713,2002,-87.80892944335938
1683826245.1374035,2006,-86.76288604736328
1683826267.8082952,2014,-80.74169158935547
1683826312.276264,2031,-110.942138671875
1683826328.8943503,2037,-138.4699249267578
1683826391.8273888,2061,-100.03795623779295
1683826422.6299548,2074,-93.0302963256836
1683826425.907302,2077,-90.4518585205078
1683826436.0786085,2078,-98.31079864501952
1683826441.3790767,2082,-81.87643432617188
1683826453.3456435,2086,-92.06693267822266
1683826467.9711535,2090,-99.68269348144533
1683826482.8755603,2097,-109.16765594482422
1683826521.4020417,2112,-81.386474609375
1683826608.35156,2146,-80.52938079833984
1683826622.3861125,2150,-110.20167541503906
1683826637.7751586,2157,-62.00709915161133
1683826667.9903872,2166,-88.99006652832031
1683826722.4048028,2188,-108.8322982788086
1683826727.2934637,2190,-86.13916015625
1683826730.919417,2192,-118.94246673583984
1683826751.6064374,2200,-82.64236450195312
1683826774.4286177,2208,-71.62989044189453
1683826782.7238653,2212,-93.4901351928711
1683826837.1069975,2232,-121.21485137939452
1683826851.957007,2237,-128.3570098876953
1683826853.0336678,2238,-104.80267333984376
1683826857.8989525,2240,-83.53085327148438
1683826867.578111,2243,-93.595703125
1683826896.7519555,2255,-82.6855697631836
1683826904.5469108,2258,-114.90021514892578
1683826916.7593205,2263,-112.64779663085938
1683826966.954362,2282,-112.01789855957033
1683826992.4281464,2292,-104.0315399169922
1683827009.173333,2298,-150.15028381347656
1683827024.1660478,2304,-80.71746063232422
1683827030.933005,2308,-96.29173278808594
1683827063.6477664,2320,-103.6164779663086
1683827135.83046,2346,-80.798095703125
1683827154.931987,2355,-132.44851684570312
1683827248.5127337,2390,-121.9931869506836
1683827250.523708,2391,-95.6902313232422
1683827257.6737363,2393,-77.91252899169922
1683827370.7322855,2437,-99.12225341796876
1683827394.1179676,2445,-99.38394165039062
1683827410.722064,2452,-167.56134033203125
1683827413.6775818,2454,-82.58887481689453
1683827423.7718809,2456,-73.48588562011719
1683827436.942395,2461,-97.23889923095705
1683827503.043923,2486,-119.17153930664062
1683827504.5160356,2487,-93.1316146850586
1683827533.0798218,2497,-88.04286193847656
1683827534.4487388,2499,-129.8280029296875
1683827548.9714806,2504,-147.6658477783203
1683827583.2176354,2518,-122.56258392333984
1683827599.0919144,2524,-91.0003433227539
1683827622.817613,2533,-92.02101135253906
1683827659.3750954,2548,-109.630615234375
1683827672.2880769,2552,-177.7783203125
1683827675.366456,2554,-103.43260192871094
1683827744.1897297,2579,-96.0206527709961
1683827801.097093,2601,-138.71975708007812
1683827816.2082882,2607,-115.9330825805664
1683827865.6297183,2624,-165.8761444091797
1683827880.847355,2630,-82.3335189819336
1683827918.547006,2645,-103.6010971069336
1683827949.5232527,2656,-141.78358459472656
1683828006.817157,2679,-98.16730499267578
1683828029.1569464,2686,-115.81841278076172
1683828038.6966195,2691,-114.37220764160156
1683828076.2851644,2704,-109.8426284790039
1683828094.3469176,2711,-133.49070739746094
1683828134.2819562,2726,-83.12012481689453
1683828167.2799883,2738,-140.82876586914062
1683828175.624438,2741,-146.554931640625
1683828213.4790936,2755,-135.0258331298828
1683828305.9780724,2790,-138.82249450683594
1683828309.5913682,2791,-122.49119567871094
1683828312.6615713,2792,-127.6614761352539
1683828398.881005,2825,-133.3993682861328
1683828524.768571,2873,-129.4556427001953
1683828549.6911747,2882,-118.83721923828124
1683828569.8826578,2891,-160.0567169189453
1683828586.2310405,2897,-131.71849060058594
1683828644.3754747,2918,-113.61084747314452
1683828648.103332,2920,-157.9598846435547
1683828648.203138,2921,-118.82257843017578
1683828776.1307917,2968,-153.11094665527344
1683828797.3123643,2976,-145.73257446289062
1683828857.8402083,2999,-173.0078582763672
1683828892.065767,3012,-186.546142578125
1683828934.6447265,3028,-161.5767822265625
1683828941.6835554,3031,-90.7731704711914
1683828962.7693863,3039,-140.9556427001953
