Wall time,Step,Value
1683821321.366505,19,62307.625
1683821372.144988,43,52433.765625
1683821378.0099776,46,21664.16015625
1683821400.4038155,57,120140.8828125
1683821436.6086338,72,125046.078125
1683821438.945716,75,237737.140625
1683821487.6081057,95,91277.5
1683821620.7424507,156,91492.0
1683821630.4157386,159,220706.46875
1683821646.3244257,168,61756.4765625
1683821685.8483777,184,61291.375
1683821788.0586326,230,18417.03125
1683821800.9973118,235,622.830810546875
1683821844.9973218,256,136632.71875
1683821857.6107523,261,128023.75
1683821871.2198925,268,105627.6875
1683821885.1343632,274,17730.59765625
1683821967.0339,309,70048.796875
1683821975.9334056,311,134488.5625
1683821991.6473763,319,53580.109375
1683822040.1592877,340,86422.046875
1683822059.6702518,348,141686.78125
1683822109.6151636,368,123773.984375
1683822237.386915,422,49721.3359375
1683822237.3959155,423,124123.984375
1683822285.7482126,443,159635.015625
1683822293.2011986,446,41664.0546875
1683822331.0501292,461,118670.6875
1683822337.266118,464,82042.3359375
1683822338.6770852,465,42525.640625
1683822365.2428498,475,2776.8720703125
1683822411.0191526,494,118148.6640625
1683822465.6807723,515,43498.1171875
1683822521.613298,537,42397.58203125
1683822584.3010583,564,3031.62841796875
1683822624.753008,580,120079.140625
1683822641.3679774,587,118484.75
1683822642.543975,588,233966.4375
1683822724.1873152,621,119421.796875
1683822758.8634987,635,79721.875
1683822775.315257,642,3344.326171875
1683822779.0219786,643,81562.484375
1683822783.1529057,645,42140.01953125
1683822790.48259,648,43421.3984375
1683822795.7781062,650,119979.765625
1683822824.1942184,662,80183.15625
1683822851.0986855,672,80556.609375
1683822959.145091,715,195922.90625
1683822979.3211467,723,42634.453125
1683823000.4769728,731,41615.6796875
1683823054.692182,753,117907.96875
1683823062.6451137,757,40695.765625
1683823087.2998085,766,118272.078125
1683823094.492165,770,198725.53125
1683823101.8048306,772,117370.046875
1683823132.8368669,786,79992.5546875
1683823141.0191462,788,158060.78125
1683823153.0829017,793,2546.41357421875
1683823157.6977754,795,39998.0078125
1683823167.488107,799,118999.234375
1683823176.3180895,803,79777.578125
1683823192.1925144,809,80087.1875
1683823192.3735132,810,80806.34375
1683823253.397226,833,80621.3125
1683823259.8244245,837,236156.765625
1683823342.9752233,870,81282.4375
1683823373.9812667,883,119469.234375
1683823436.419406,908,80226.40625
1683823444.1970232,910,158377.9375
1683823462.857926,918,41056.53515625
1683823525.6315303,943,40968.203125
1683823531.993858,946,80482.09375
1683823553.238424,955,196587.28125
1683823574.099047,963,80028.84375
1683823596.6730812,972,157311.15625
1683823598.6735244,973,79639.59375
1683823613.0800822,979,157294.609375
1683823616.3416567,980,197662.953125
1683823628.42546,985,236021.21875
1683823677.1891658,1003,119258.59375
1683823684.0468266,1006,118606.203125
1683823706.3211365,1015,157570.578125
1683823826.5064695,1064,119360.546875
1683823834.8830268,1067,2775.12255859375
1683823841.095229,1069,117956.5859375
1683823849.9127364,1073,311221.3125
1683823863.4317703,1079,157366.65625
1683823875.8232453,1084,118209.9375
1683823903.5049968,1094,79374.21875
1683823919.4369006,1100,119031.71875
1683823930.5431285,1105,235398.96875
1683823954.7319283,1115,157311.296875
1683824062.4123182,1157,198022.34375
1683824070.632915,1161,41574.875
1683824075.7333984,1162,117849.1484375
1683824079.2751353,1163,40772.9375
1683824125.6673267,1181,40974.265625
1683824158.147256,1194,40472.609375
1683824188.1003957,1207,79142.1953125
1683824292.7843828,1245,193521.484375
1683824327.2253916,1259,79935.15625
1683824334.8197398,1262,79555.125
1683824385.9375784,1282,234425.09375
1683824401.3562095,1288,193635.21875
1683824418.0197346,1295,156938.5625
1683824473.681149,1317,194522.078125
1683824479.0091393,1320,157130.265625
1683824508.1448948,1331,157105.4375
1683824515.2146428,1334,117507.375
1683824523.1754432,1337,117632.765625
1683824525.1901004,1338,117860.234375
1683824649.8778384,1386,195218.234375
1683824664.8014746,1392,117053.5546875
1683824665.5694733,1393,40543.640625
1683824723.4262714,1415,195362.65625
1683824755.4003868,1427,117841.640625
1683824777.5324306,1437,2191.19677734375
1683824856.5798175,1467,193833.65625
1683824887.2061882,1478,155996.421875
1683824909.8657715,1486,78462.4140625
1683824926.0182965,1492,78601.46875
1683825002.675151,1524,78541.6953125
1683825014.488618,1528,40916.171875
1683825078.8844676,1553,116647.0625
1683825121.3264515,1569,78030.796875
1683825122.5730114,1570,116911.2734375
1683825159.5974476,1585,78174.734375
1683825171.3648822,1589,117026.5546875
1683825212.866158,1605,39670.7734375
1683825214.8166163,1606,1763.3973388671875
1683825296.622886,1638,79115.234375
1683825303.2046044,1641,39465.078125
1683825318.2193303,1646,154306.046875
1683825320.0018969,1649,231527.46875
1683825376.7063885,1669,79470.28125
1683825411.9937973,1683,192010.640625
1683825439.2131991,1692,78109.984375
1683825443.7430732,1696,76303.59375
1683825454.070364,1698,39931.37109375
1683825454.2353632,1700,116326.3125
1683825465.3284545,1703,77553.0078125
1683825481.8220675,1710,154307.34375
1683825504.3308191,1719,78289.203125
1683825541.6751957,1733,153635.5625
1683825544.017892,1735,77768.5859375
1683825553.785838,1738,152953.40625
1683825567.3409636,1743,77989.875
1683825574.7865324,1746,190415.71875
1683825575.4295306,1747,115392.1640625
1683825630.5029693,1767,77148.6015625
1683825652.387834,1776,40014.96875
1683825667.1608105,1782,40228.25
1683825683.6651082,1790,40664.484375
1683825712.0543222,1799,77139.5625
1683825731.102352,1806,152833.921875
1683825784.568514,1827,153614.0625
1683825793.315796,1831,114453.8046875
1683825818.1885073,1841,77069.515625
1683825830.2073324,1845,2220.9609375
1683825853.484631,1854,114026.390625
1683825884.573763,1867,39003.83203125
1683825891.6835024,1870,38951.4375
1683825907.0739107,1876,113769.546875
1683825915.4193182,1878,150446.90625
1683826016.6900604,1918,112836.46875
1683826061.5680509,1935,77333.03125
1683826089.8864243,1945,2247.67529296875
1683826097.1025746,1948,113882.8046875
1683826149.2818782,1968,186358.484375
1683826182.7858331,1982,76562.046875
1683826189.9429357,1984,2967.8681640625
1683826237.47713,2002,75758.8125
1683826245.1374035,2006,405230.1875
1683826267.8082952,2014,110290.2109375
1683826312.276264,2031,38752.6796875
1683826328.8943503,2037,112514.3203125
1683826391.8273888,2061,110513.8984375
1683826422.6299548,2074,107444.3515625
1683826425.907302,2077,110788.734375
1683826436.0786085,2078,3654.02783203125
1683826441.3790767,2082,211090.09375
1683826453.3456435,2086,146725.375
1683826467.9711535,2090,37123.16796875
1683826482.8755603,2097,179753.828125
1683826521.4020417,2112,105669.9375
1683826608.35156,2146,139728.65625
1683826622.3861125,2150,173910.59375
1683826637.7761586,2157,70225.1875
1683826667.9903872,2166,103018.234375
1683826722.4048028,2188,165884.21875
1683826727.2944636,2190,138148.40625
1683826730.919417,2192,70953.015625
1683826751.6064374,2200,136862.4375
1683826774.4286177,2208,36518.4296875
1683826782.7238653,2212,37098.8515625
1683826837.1069975,2232,136920.71875
1683826851.957007,2237,72515.5625
1683826853.0336678,2238,127761.90625
1683826857.8989525,2240,127062.515625
1683826867.578111,2243,99321.828125
1683826896.7519555,2255,37683.1328125
1683826904.5479107,2258,99303.359375
1683826916.7593205,2263,157661.15625
1683826966.954362,2282,38355.9375
1683826992.4281464,2292,39241.265625
1683827009.173333,2298,131592.859375
1683827024.1660478,2304,35340.890625
1683827030.933005,2308,119385.515625
1683827063.6477664,2320,91848.3046875
1683827135.83046,2346,97734.734375
1683827154.931987,2355,155369.875
1683827248.5127337,2390,34110.11328125
1683827250.523708,2391,97913.8125
1683827257.6737363,2393,127481.8828125
1683827370.7332854,2437,80761.6640625
1683827394.1189668,2445,79768.328125
1683827410.722064,2452,57652.1875
1683827413.6775818,2454,130099.15625
1683827423.7718809,2456,132736.75
1683827436.942395,2461,54365.6953125
1683827503.043923,2486,74707.046875
1683827504.5160356,2487,96874.453125
1683827533.0798218,2497,53793.96875
1683827534.449739,2499,69065.609375
1683827548.9724803,2504,170036.21875
1683827583.2176354,2518,156394.4375
1683827599.0919144,2524,11343.712890625
1683827622.8186128,2533,68380.234375
1683827659.3750954,2548,104439.3046875
1683827672.2880769,2552,52354.078125
1683827675.366456,2554,85742.2265625
1683827744.1897297,2579,62438.9921875
1683827801.097093,2601,101838.921875
1683827816.2082882,2607,78742.375
1683827865.6297183,2624,61668.8359375
1683827880.847355,2630,18882.005859375
1683827918.547006,2645,97559.1328125
1683827949.5232527,2656,88845.171875
1683828006.817157,2679,73836.9609375
1683828029.1569464,2686,80138.2421875
1683828038.6966195,2691,62351.3671875
1683828076.2851644,2704,68662.40625
1683828094.3479178,2711,51016.98046875
1683828134.2829554,2726,13381.548828125
1683828167.2799883,2738,52235.3671875
1683828175.624438,2741,32555.81640625
1683828213.4790936,2755,62891.55078125
1683828305.9780724,2790,80458.84375
1683828309.5913682,2791,59897.859375
1683828312.6615713,2792,46491.890625
1683828398.881005,2825,37403.1796875
1683828524.768571,2873,22235.27734375
1683828549.6911747,2882,19541.82421875
1683828569.8826578,2891,51714.3125
1683828586.2310405,2897,34696.625
1683828644.3754747,2918,22531.638671875
1683828648.103332,2920,41932.953125
1683828648.203138,2921,29387.2890625
1683828776.1307917,2968,34473.84375
1683828797.3123643,2976,47502.40625
1683828857.8402083,2999,37639.26171875
1683828892.065767,3012,29615.77734375
1683828934.6447265,3028,30726.869140625
